alternativetext_id,alternativetext
1,jud
2,groß
3,W
4,F
5,b
6,aug
7,burgerm
8,gnt
9,burgm
10,S
11,monsr
12,s
13,Excell
14,sgrs
15,g
16,M h
17,m h
18,novemb
19,decemb
20,m
21,D
22,mr
23,Mr
24,octob
25,9bris
26,informaon
27,janua
28,srie
29,J
30,made
31,hochw
32,hochhey
33,septemb
34,sept
35,h
36,ult
37,7bris
38,8bris
39,srs
40,rndit
41,pr nr
42,bnte
43,Ftz
44,jr
45,Wil
46,ß
47,haupt
48,Wey
49,m g
50,Msr
51,Haupt
52,hhrn
53,hrn
54,m hrn
55,br
56,hh
57,Lud
58,burg
59,N
60,g hh
61,hhren
62,F H
63,Jr
64,phan
65,g hhr
66,tn
67,m g h
68,Jud
69,messeigrs
70,messrs
71,psse
72,messeignrs
73,g hhrn
74,feb
75,g hrn
76,messgrs
77,confrontaon
78,Creatr
79,xbris
80,Exells
81,gral
82,burgr
83,Nicl
84,Exell
85,Cas
86,Hein
87,Casp
88,seremt
89,messeigr
90,sr
91,r
92,h w
93,debitrs
94,pp
95,msr
96,sts
97,messirs
98,hhr
99,rdnit
100,nre sr
101,St
102,monr
103,pnce
104,p
105,mstr
106,st
107,monseigr
108,C
109,sgr
110,Caß
111,Exlls
112,ste
113,seigrs
114,monsgr
115,srg
116,Excells
117,ehrw hrn
118,commun
119,meseigrs
120,messr
121,mesrs
122,Ste
123,Seigr
124,Fra Pet
125,seigr
126,ap
127,pntes
128,j
129,Ny
130,ßt
131,g oberkh
132,Anthoy
133,Exellen
134,mess
135,burger
136,g ober
137,hr
138,keiß
139,m g hrn
140,burgermeist
141,hauptm
142,dni
143,g o
144,hren
145,g m g h
146,m g hre
147,schulthn
148,mrs
149,Exelle
150,nre
151,burgster
152,l F
153,m G
154,keyß
155,Mstr
156,L Exlls
157,ehrw pp
158,hochw h
159,res
160,susmees
161,k
162,L E
