document_id,char_range,title_id,editors,date_electronic,date_print,origdate_id,canton
1,"[0,4351)",1,11,2018-12-12,2022-06-10,1,FR
2,"[4351,5921)",1,11,2018-12-12,2022-06-10,1,FR
3,"[5921,6229)",1,11,2019-03-20,2022-06-10,2,FR
4,"[6229,6450)",1,11,2019-10-14,2022-06-10,1,FR
5,"[6450,7477)",1,11,2019-10-14,2022-06-10,3,FR
6,"[7477,7825)",1,11,2019-10-14,2022-06-10,4,FR
7,"[7825,8027)",1,11,2019-10-14,2022-06-10,5,FR
8,"[8027,9552)",1,11,2019-10-14,2022-06-10,5,FR
9,"[9552,9865)",1,11,2019-10-14,2022-06-10,6,FR
10,"[9865,14065)",1,11,2019-10-14,2022-06-10,7,FR
11,"[14065,14503)",1,11,2019-10-14,2022-06-10,8,FR
12,"[14503,18604)",1,11,2019-10-14,2022-06-10,8,FR
13,"[18604,18930)",1,11,2019-10-14,2022-06-10,9,FR
14,"[18930,19760)",1,11,2019-10-14,2022-06-10,10,FR
15,"[19760,20027)",1,11,2019-10-14,2022-06-10,1,FR
16,"[20027,20292)",1,11,2019-10-14,2022-06-10,11,FR
17,"[20292,20461)",1,11,2019-10-14,2022-06-10,12,FR
18,"[20461,21048)",1,11,2019-10-14,2022-06-10,12,FR
19,"[21048,21291)",1,11,2019-10-14,2022-06-10,13,FR
20,"[21291,22843)",1,11,2019-10-14,2022-06-10,14,FR
21,"[22843,23139)",1,11,2019-10-14,2022-06-10,15,FR
22,"[23139,23291)",1,11,2019-10-14,2022-06-10,16,FR
23,"[23291,24808)",1,11,2019-10-14,2022-06-10,16,FR
24,"[24808,25102)",1,11,2019-10-14,2022-06-10,17,FR
25,"[25102,25438)",1,11,2019-10-14,2022-06-10,17,FR
26,"[25438,25782)",1,11,2019-10-14,2022-06-10,18,FR
27,"[25782,26669)",1,11,2019-10-14,2022-06-10,19,FR
28,"[26669,26890)",1,11,2019-10-14,2022-06-10,1,FR
29,"[26890,27439)",1,11,2019-10-14,2022-06-10,17,FR
30,"[27439,27597)",1,11,2019-10-14,2022-06-10,20,FR
31,"[27597,27785)",1,11,2019-10-14,2022-06-10,18,FR
