origdate_id,origdate
1,
2,1546-03-13
3,1637-07-23
4,1637-08-06
5,1637-07-24
6,1637-07-28
7,1637-07-29
8,1637-07-30
9,1637-07-31
10,1637-08-01
11,1637-08-12
12,1637-08-28
13,1637-08-29
14,1637-08-17
15,1637-08-18
16,1637-08-20
17,1637-08-21
18,1637-08-25
19,1637-08-27
20,1637-09-03
21,1637-08-31
22,1637-09-01
23,1637-09-02
24,1637-10-19
25,1637-10-20
26,1637-10-23
27,1637-10-24
28,1637-10-26
29,1638-06-07
30,1638-06-08
31,1638-07-10
32,1638-07-12
33,1638-07-15
34,1638-07-16
35,1638-07-17
36,1638-08-07
37,1638-08-25
38,1638-08-26
39,1638-08-12
40,1638-08-13
41,1638-08-17
42,1638-08-19
43,1638-08-20
44,1638-10-29
45,1638-10-30
46,1638-11-03
47,1638-11-04
48,1638-11-05
49,1652-09-10
50,1652-10-05
51,1643-06-11
52,1643-06-13
53,1643-07-23
54,1643-08-11
55,1643-08-13
56,1643-08-28
57,1643-09-01
58,1643-09-02
59,1643-10-03
60,1643-11-03
61,1643-11-10
62,1643-07-27
63,1643-11-12
64,1643-12-07
65,1643-12-09
66,1644-01-11
67,1644-01-12
68,1644-01-13
69,1644-07-12
70,1644-07-13
71,1643-07-28
72,1644-07-14
73,1644-07-15
74,1644-07-18
75,1644-07-19
76,1644-07-22
77,1644-08-23
78,1644-09-02
79,1644-09-12
80,1643-07-30
81,1644-09-19
82,1644-09-26
83,1644-09-30
84,1644-10-03
85,1644-10-05
86,1644-10-06
87,1644-10-17
88,1644-10-19
89,1644-11-02
90,1644-11-03
91,1643-07-31
92,1644-11-05
93,1644-11-07
94,1644-11-08
95,1644-11-09
96,1644-11-10
97,1644-11-15
98,1644-11-28
99,1645-11-28
100,1643-08-01
101,1644-11-29
102,1644-12-01
103,1644-12-02
104,1644-12-03
105,1644-12-05
106,1645-12-05
107,1644-12-07
108,1644-12-10
109,1643-08-03
110,1644-12-17
111,1645-01-13
112,1645-01-18
113,1645-01-19
114,1645-01-21
115,1645-01-23
116,1645-01-24
117,1643-08-04
118,1645-01-28
119,1645-02-04
120,1645-09-05
121,1643-08-08
122,1551-11-28
123,1643-08-27
124,1643-09-11
125,1643-09-19
126,1643-10-01
127,1644-12-15
128,1644-12-16
129,1643-11-16
130,1644-08-25
131,1643-11-17
132,1643-11-19
133,1643-11-24
134,1644-01-02
135,1644-01-04
