orgname_id,char_range,text,ref
1,"[37802,37812)",clarisses,org001028
2,"[53925,53930)",Rämi,org004722.02
3,"[60651,60659)",Räminen,org004722.02
4,"[61375,61383)",Riminen,org004722.04
5,"[61764,61771)",Rimmys,org004722.05
6,"[132192,132201)",Auterive,org004802.07
7,"[150295,150308)",Cappucyneren,org001027
8,"[246734,246744)",Barfüsser,org006679
9,"[496934,496954)",abbaye des Chappuis,org004814.02
10,"[545735,545755)",Jesus,org001675.05
11,"[553645,553665)",Jesus,org001675.05
12,"[717181,717189)",Bifrare,org007513.03
13,"[782227,782238)",Haulterive,org004802.06
14,"[782627,782659)",Jesus,org001675.07
