persname_id,char_range,text_id,ref_id
1,"[138,155)",1,1
2,"[157,170)",2,2
3,"[172,185)",3,3
4,"[187,202)",4,4
5,"[204,222)",5,5
6,"[224,238)",6,6
7,"[243,265)",7,7
8,"[293,303)",8,8
9,"[316,331)",9,9
10,"[763,772)",10,10
11,"[969,978)",10,10
12,"[1164,1173)",10,10
13,"[1662,1671)",11,11
14,"[2269,2278)",11,11
15,"[2348,2362)",12,12
16,"[2434,2447)",13,12
17,"[3172,3185)",14,12
18,"[3935,3948)",15,12
19,"[3950,3968)",16,12
20,"[3982,3993)",17,12
21,"[4019,4028)",18,12
22,"[4030,4046)",19,12
23,"[4067,4087)",20,12
24,"[4302,4317)",21,13
25,"[5840,5857)",22,14
26,"[5900,5915)",21,13
27,"[6378,6403)",23,15
28,"[6407,6412)",24,16
29,"[6412,6420)",25,17
30,"[6420,6428)",26,18
31,"[6430,6436)",27,19
32,"[6443,6457)",28,20
33,"[6659,6666)",29,21
34,"[7285,7303)",30,22
35,"[7345,7359)",28,20
36,"[7755,7776)",31,23
37,"[7827,7845)",30,22
38,"[7932,7957)",23,15
39,"[7961,7966)",24,16
40,"[7966,7977)",32,24
41,"[7979,7989)",33,25
42,"[7991,7999)",25,17
43,"[7999,8007)",26,18
44,"[8009,8015)",27,19
45,"[8064,8082)",30,22
46,"[8119,8126)",34,20
47,"[8201,8217)",35,12
48,"[8426,8447)",36,12
49,"[8519,8529)",37,12
50,"[8585,8593)",38,12
51,"[8879,8896)",39,12
52,"[9420,9438)",30,22
53,"[9469,9483)",40,20
54,"[9735,9760)",23,15
55,"[9764,9773)",41,26
56,"[9777,9791)",42,27
57,"[9791,9802)",32,24
58,"[9804,9813)",43,28
59,"[9815,9823)",25,17
60,"[9823,9829)",27,19
61,"[9878,9906)",44,29
62,"[9951,9958)",34,20
63,"[10724,10733)",45,12
64,"[11211,11218)",46,30
65,"[11242,11248)",47,12
66,"[11411,11427)",48,12
67,"[11511,11528)",49,12
68,"[11591,11600)",50,12
69,"[11809,11818)",51,12
70,"[11887,11896)",51,12
71,"[12107,12118)",52,12
72,"[12318,12328)",53,12
73,"[12491,12501)",54,12
74,"[12697,12704)",55,12
75,"[13250,13260)",53,12
76,"[13327,13345)",56,12
77,"[13411,13425)",57,31
78,"[13567,13575)",58,12
79,"[13646,13657)",59,12
80,"[13678,13688)",60,32
81,"[13768,13776)",58,12
82,"[13866,13894)",44,29
83,"[13924,13938)",40,20
84,"[14456,14481)",23,15
85,"[14499,14505)",61,33
86,"[14557,14572)",62,34
87,"[14692,14703)",32,24
88,"[14705,14715)",33,25
89,"[14717,14725)",25,17
90,"[14725,14734)",63,35
91,"[14736,14742)",27,19
92,"[14749,14756)",34,20
93,"[15049,15056)",46,30
94,"[15100,15107)",46,30
95,"[15203,15220)",64,12
96,"[15352,15359)",46,30
97,"[15432,15440)",65,12
98,"[15592,15610)",66,12
99,"[15689,15708)",67,12
100,"[15761,15774)",68,12
101,"[15812,15833)",69,12
102,"[15930,15939)",70,12
103,"[16381,16390)",70,12
104,"[16547,16554)",46,30
105,"[16674,16681)",46,30
106,"[17149,17156)",71,12
107,"[17234,17253)",72,12
108,"[17330,17341)",73,12
109,"[17420,17434)",74,36
110,"[17612,17619)",46,30
111,"[18278,18292)",28,20
112,"[18655,18680)",23,15
113,"[18698,18704)",61,33
114,"[18745,18760)",62,34
115,"[18880,18887)",75,37
116,"[18887,18893)",27,19
117,"[18895,18903)",26,18
118,"[18910,18917)",34,20
119,"[19119,19138)",76,38
120,"[19217,19224)",34,20
121,"[19228,19239)",77,39
122,"[19262,19269)",34,20
123,"[19345,19356)",77,39
124,"[19726,19734)",78,40
125,"[19755,19779)",79,41
126,"[19949,19967)",80,42
127,"[20163,20173)",81,43
128,"[20322,20331)",82,44
129,"[20336,20344)",83,45
