ref_id,ref
1,per010051a.01
2,per010052a
3,per010053a.01
4,per010054a
5,per010055a.01
6,per010056a.01
7,per010038a.01
8,per009707a.01
9,per009706a
10,per011219a.09
11,per011219a.10
12,
13,per009735a.01
14,per009735a.02
15,per011527
16,per006714a.02
17,per011521a.01
18,per011540a.02
19,per011523a.01
20,per011982a
21,per012498a
22,per011980a
23,per011982
24,per011519
25,per009462a.01
26,per009267a.01
27,per006816
28,per009462
29,per011815
30,per029440a.01
31,per009448
32,per012301
33,per009390
34,per011533
35,per011540a.01
36,per011540
37,per009259
38,per011815a.01
39,per011815a
40,per012294a
41,per012293
42,per012293a.06
43,per012293a.04
44,per011533a.02
45,per006714a.01
46,per011532a.02
47,per006840
48,per012293a.07
49,per012293a.01
50,per012293a.02
51,per012293a.03
52,per011531a.01
53,per011532a.01
54,per012293a.05
55,per012302
56,per012302a.02
57,per012302a.01
58,per012301a
59,per012478a.01
60,per012301a.01
61,per011535a.01
62,per000169a.05
63,per012302a
64,per009267
65,per012307a.01
66,per012308a.01
67,per012311a.01
68,per011547
69,per012307a.04
70,per012311a.02
71,per012307a.03
72,per012307a.02
73,per012312a
74,per012313a.01
75,per012497
76,per012314a.01
77,per012314a.02
78,per012479a
79,per012314a.03
80,per009125
81,per012314a.04
82,per012322a
83,per012328
84,per012322a.01
85,per011562
86,per011563
87,per012322b
88,per011561
89,per012329
90,per012333
91,per012334
92,per012336
93,per012337
94,per012332
95,per006518a.03
96,per012333a.01
97,per012332a.01
98,per006518a
99,per009134a.02
100,per009213a.04
101,per012334a.01
102,per012334a
103,per000324
104,per012336a.01
105,per012337a.01
106,per012332a.02
107,per012333a.02
108,per012336a.02
109,per012337a.02
110,per012334a.02
111,per012337a.03
112,per012333a.03
113,per015662a
114,per015662a.01
115,per015663
116,per015664a.01
117,per015678a.03
118,per015663b
119,per015678a
120,per015663a
121,per015663a.01
122,per015678
123,per015678a.04
124,per013470
125,per012379a.01
126,per009378a.01
127,per011519a.01
128,per012381a
129,per012380a
130,per013720a.01
131,per011547a.01
132,per011548a.01
133,per029441a
134,per013453a.02
135,per013434a.05
136,per013439a.01
137,per015678a.05
138,per015739b
139,per019447a.01
140,per017120
141,per015742a.02
142,per015664a.03
143,per012381a.02
144,per012380a.01
145,per029440a.04
146,per015739b.01
147,per015739b.02
148,per015781a.01
149,per015753a.01
150,per015755a.01
151,per015785a.01
152,per015788a
153,per016901
154,per015785a.02
155,per015781a.02
156,per015753a.02
157,per015785a.03
158,per015781a.03
159,per015678a.02
160,per029425a
161,per015785a
162,per009590
163,per015753
164,per015965
165,per013730a.01
166,per006817a.02
167,per013434a.02
168,per013664a.01
169,per012378a.04
170,per011519a.03
171,per015753a
172,per012381a.01
173,per013436a.01
174,per015664a.02
175,per029441a.01
176,per012378a.01
177,per015982
178,per015982a
179,per015979a.01
180,per000353
181,per029442a
182,per015739a
183,per017000
184,per017022
185,per016968
186,per015984
187,per015988
188,per015982b
189,per015984a
190,per015985a.01
191,per015739
192,per015988b
193,per015987a.01
194,per015678a.01
195,per015984a.01
196,per015988a.01
197,per013479a.01
198,per029441a.02
199,per012378a.02
200,per009736a.01
201,per009738a
202,per009737
203,per029420a
204,per013809a.01
205,per009736b.01
206,per015996a.01
207,per015998
