text_id,text
1,Jehan Mussillier
2,Pierre Ramuz
3,Cordey
4,Hans Espagniod
5,Guilliame Gastrod
6,Reiff
7,ans Techtermand
8,Jehanneta
9,Estieven Lasne
10,Sathanaz
11,Sathanat
12,Pierre Sessel
13,Jehan Villie
14,Jehan Livret
15,Pierre Morat
16,n
17,Gros Bovey
18,Magniens
19,Jehan Guilliame
20,Vernaz
21,Frantz Maradan
22,Francey Maradans
23,Beat Jakob von Montenach
24,Fryo
25,Heylman
26,Gartner
27,Wildt
28,Barbli Bodmer
29,Billet
30,Christine Bovigny
31,Barbli Billet-Bodmer
32,Techterman
33,Gribollet
34,Barbli
35,Stephan Gaudron
36,Gaudrons haußfrouwen
37,Gaudronna
38,Stephan
39,tern Veillard
40,Bodmer
41,Brodardt
42,Gottrow
43,Gribolet
44,Marguerite Huguenot-Renevey
45,Veillard
46,Hänßli
47,Carle
48,Petern Veillard
49,Stephan Gaudrons
50,lers
51,Gaudrons
52,Schufflers
53,Veillards
54,Wolffen
55,Clauda
56,Petern zum Waldts
57,Peter Zumwald
58,Tichtli
59,Tacconnary
60,Rose Bise
61,Reyff
62,Tobias Gottrau
63,Garttner
64,Zelwegerin
65,Agathen
66,dem jungen Baßler
67,le Boumgarters
68,Petern Liebs
69,von Dießbachs
70,Peissard
71,Gottys
72,Vizenz
73,Adam Trews
74,Hansen Curtys
75,Ligerz
76,Rinevey
77,Marguerite
78,Verdons
79,Françoise Verdon-Berset
80,Perret
81,Françoyse
82,Gottrouw
83,Fryodts
84,Hanß Niclausen Brynißholz
85,Zumwaldts
86,Fleischman
87,Franceoise Berset
88,Françoyse Perset
89,Siguallin
90,Elsi
91,Beneiste Motta
92,Pierre
93,Beneiste Monney
94,Jaques Musy
95,du Moullin
96,Jean Verdon
97,Claude Musy
98,Claude Fontane
99,Perset
100,Franceysa Perset
101,Schrötter
102,Benoist Monney
103,Monney
104,Susanne
105,Techtermann
106,Brünißholz
107,Franceoisa Berset
108,Anni Summerau
109,Pierre Roget
110,Roget
111,Peterman Monney
112,Taggonida
113,Anni Summerouw
114,merouw
115,Anni Sommerow
116,Hansen von Landten
117,Hansen Wagner
118,Wagners
119,Anni Röschberger
120,Berttilis
121,Jogli
122,Rose
123,Jehan Bise
124,Theodule
125,Jacques
126,Jaques
127,Guillette
128,wyl
129,Byrboumina
130,Bise
131,Rosa Bise
132,Landter
133,Hansen
134,Hansen Wagners
135,Stobler
136,Wagner
137,Vizo
138,Marie
139,Anni
140,Jacques Vizo
141,Casparn
142,Hansen Schnewli
143,Brodard
144,Vizona
145,Jacquat
146,Magdelaine Arselié
147,Jehan Arselié
148,Pasquier
149,lings
150,Monnat
151,Madelaine de Seyley
152,quier
153,Kämmerling
154,Kämmerlings
155,Madelaine Sellier
156,Jocqli
157,Magdelaine Sellier
158,Kammerling
159,Sara
160,Franzen Bechlers
161,Nicolas Brovetz
162,Elsi Schuldtheyß
163,Bendichten
164,Elsi Schuldtheyssin
165,Tietrichen Bechlers
166,Gindro
167,Brovets
168,Leisa Guillet
169,Jean Gilliard
170,Gilliard
171,Leysa Gilliet
172,Leisa
173,Praroman
174,Frantz von der Weydt
175,Zilliet
176,Schaffner
177,Prengin
178,Boumgartera
179,Anne
180,Gonang le Fevre
181,Marie Paccot
182,Jean Jannin
183,Salomé
184,Leysa Guilliet
185,Montenach
186,Leysa Guillet
187,Clauda Piccand
188,Ruff Martis
189,Clauda Piccandt
190,Gasser
191,Meyer
192,Brünißholzina
193,Clauda Piccand oder Martina
194,Clauda Martina
195,Vincent Piccand dit Chapuis
196,Ruff Marti
197,Claude Mauron
198,Jacob Wyß
199,Annili
200,Georges
201,Antoine
202,François
203,Louis Rimy
204,George Rimy
205,Lois Rimy
206,Claude Verna
207,Petit Jean Sudan
208,Franz Lanther
209,Peterman Dumont
210,François Bourquinod
211,Dießbach
212,Ottmar Gottrow
213,Peter
214,Bouquet
215,Moser
216,Periard
217,Pierre Rimy
218,Agathe
219,Anthoine Rimy
220,Françoys Rimy
221,Fragnieres
222,Louys
223,George
224,Anthoine
225,Franceois
226,Pierre Rimmi
227,François Rimy
228,Rimmys
229,George Remy
230,Anteyne Byfrare
231,Antoinie Belfrare
232,Jenon
233,Hans Wanner
234,Hanß Wanner
235,Magdelaine
236,Catherine Gauthier-Monde
237,Pierre Gaultier
238,Marti Mangueron
239,Pieter
240,ou Jacqui
241,Gottia
242,Marti
243,Borradin
244,Borardin
245,Catherine Monde
