placename_id,char_range,text_id,ref_id
1,"[127,136)",1,1
2,"[282,291)",1,1
3,"[334,345)",2,2
4,"[1429,1436)",3,3
5,"[2365,2375)",4,4
6,"[3862,3869)",5,5
7,"[3996,4006)",6,6
8,"[4050,4055)",7,7
9,"[4077,4087)",8,8
10,"[4321,4328)",9,9
11,"[4407,4415)",10,10
12,"[4750,4757)",9,9
13,"[4759,4772)",11,11
14,"[4774,4783)",12,12
15,"[4971,4979)",10,10
16,"[5459,5470)",13,13
17,"[5861,5868)",9,9
18,"[6327,6337)",14,14
19,"[6461,6471)",15,15
20,"[6677,6692)",16,16
21,"[7363,7374)",17,17
22,"[7374,7381)",18,18
23,"[7411,7422)",19,19
24,"[7687,7699)",20,20
25,"[7878,7890)",21,21
26,"[8274,8283)",22,22
27,"[9487,9498)",17,17
28,"[9681,9688)",23,23
29,"[9939,9951)",21,21
30,"[10069,10083)",24,24
31,"[11702,11709)",25,25
32,"[11736,11742)",26,26
33,"[12505,12514)",27,27
34,"[13547,13554)",28,28
35,"[13942,13953)",17,17
36,"[13964,13976)",29,29
37,"[14250,14262)",21,21
38,"[14890,14904)",30,30
39,"[15245,15248)",31,31
40,"[15841,15851)",32,32
41,"[16108,16121)",33,33
42,"[16420,16433)",33,33
43,"[17219,17232)",34,34
44,"[18595,18607)",35,35
45,"[19689,19699)",36,36
46,"[19785,19795)",37,37
47,"[19807,19820)",38,38
48,"[19920,19933)",38,38
49,"[19938,19949)",39,39
50,"[19970,19981)",40,40
51,"[20105,20117)",21,21
52,"[20710,20720)",37,37
53,"[20920,20927)",23,23
54,"[21111,21121)",37,37
55,"[21233,21242)",41,41
56,"[22123,22132)",41,41
57,"[22589,22599)",42,42
58,"[22859,22871)",21,21
59,"[23995,24003)",43,43
60,"[24056,24065)",41,41
61,"[24166,24176)",37,37
62,"[24610,24622)",21,21
63,"[25121,25130)",44,44
64,"[25278,25285)",23,23
65,"[25563,25575)",21,21
66,"[26683,26691)",45,45
67,"[27192,27205)",46,46
68,"[27248,27255)",23,23
69,"[27680,27692)",47,47
70,"[28552,28558)",48,48
71,"[28590,28597)",49,25
72,"[28660,28667)",50,49
73,"[28681,28688)",51,50
74,"[28798,28805)",52,51
75,"[29182,29194)",53,52
76,"[29318,29330)",54,53
77,"[29362,29373)",55,54
78,"[29630,29636)",56,55
79,"[30246,30253)",49,25
80,"[30316,30323)",50,49
81,"[30334,30341)",51,50
82,"[30674,30686)",21,56
83,"[30997,31008)",57,57
84,"[31453,31460)",58,58
85,"[31964,31970)",56,55
86,"[32228,32240)",59,59
87,"[32705,32717)",21,56
88,"[33316,33323)",60,60
89,"[33334,33345)",61,61
90,"[33735,33745)",62,62
91,"[34014,34026)",21,56
92,"[34722,34726)",63,63
93,"[34784,34792)",64,64
94,"[34831,34840)",65,65
95,"[34915,34925)",66,66
96,"[35274,35278)",63,63
97,"[35577,35584)",23,23
98,"[35740,35751)",67,67
99,"[35784,35793)",68,68
100,"[36224,36231)",69,69
101,"[36352,36361)",70,70
102,"[36469,36481)",71,71
103,"[36702,36711)",70,70
104,"[36831,36840)",70,70
105,"[37012,37022)",72,70
106,"[37210,37219)",73,72
107,"[37481,37487)",74,73
108,"[37548,37554)",75,25
109,"[37617,37625)",76,74
110,"[37732,37746)",77,75
111,"[37815,37821)",78,76
112,"[38086,38090)",63,63
113,"[38419,38430)",79,77
114,"[38461,38471)",66,66
115,"[38480,38490)",80,78
116,"[38681,38688)",23,23
117,"[38827,38840)",81,79
118,"[38871,38880)",82,80
119,"[40157,40172)",83,81
120,"[40231,40241)",84,82
121,"[40756,40768)",85,83
122,"[40802,40811)",82,80
123,"[41154,41161)",23,23
124,"[41297,41304)",86,84
125,"[41693,41700)",5,5
126,"[41917,41924)",86,84
127,"[42422,42429)",87,85
128,"[42557,42564)",88,86
