ref_id,ref
1,loc001060.04
2,loc007639
3,loc007641
4,loc007642.02
5,loc007607
6,loc007642.03
7,loc007643
8,loc007644
9,loc007664
10,loc001060.02
11,loc008192.02
12,loc007928.02
13,loc008248.02
14,loc007890.02
15,loc001452.04
16,loc007629.06
17,loc001452.05
18,loc000464
19,loc010255.05
20,loc010255.01
21,loc007683.02
22,loc007888.05
23,loc008105
24,loc010255.02
25,
26,loc008528
27,loc007981.04
28,loc007630.04
29,loc010255.03
30,loc010255.04
31,loc008529.02
32,loc007860.02
33,loc007982.03
34,loc008378.04
35,loc007683.03
36,loc007889.02
37,loc007648
38,loc008485.04
39,loc007683.06
40,loc007648.03
41,loc007953.02
42,loc008132.05
43,loc008132.04
44,loc007953
45,loc007626
46,loc007981.03
47,loc009521
48,loc007594
49,loc008518
50,loc007795.03
51,loc005865
52,loc007920
53,loc008083.02
54,loc008467.02
55,loc007630.02
56,loc007683
57,loc008058.02
58,loc008473
59,loc008469.02
60,loc009520.02
61,loc007930.03
62,loc009522.02
63,loc008011.02
64,loc007603.10
65,loc007928
66,loc008355.04
67,loc007804.03
68,loc007928.04
69,loc008485.02
70,loc008355
71,loc008353.02
72,loc000738.14
73,loc008099.02
74,loc008151
75,loc010231.02
76,loc008099
77,loc008096.04
78,loc000738
79,loc007597.03
80,loc008005
81,loc007982.04
82,loc000085.04
83,loc007597
84,loc007647
85,loc007647.03
86,loc007647.07
87,loc007610
88,loc010467
89,loc007861.04
90,loc008488.02
91,loc009988.02
92,loc010232.02
93,loc007693.08
94,loc007866.06
95,loc008489.02
96,loc005824.03
97,loc006232
98,loc000126
99,loc008049.03
100,loc005708.02
101,loc008048.06
102,loc008049.02
103,loc007862.06
104,loc008461.02
105,loc007660
106,loc007859.02
107,loc010223.02
108,loc007849
109,loc005708.03
110,loc010224.02
111,loc010225
112,loc000082.05
113,loc000284.06
114,loc000731.07
115,loc007660.01
116,loc008939.01
117,loc008939.02
118,loc008048
119,loc008597.02
120,loc008597.04
121,loc009227.02
122,loc007683.20
123,loc007859
124,loc009988.04
125,loc007690.02
126,loc010283.03
127,loc008529.05
128,loc008034.03
129,loc010226.02
130,loc007857.02
131,loc008096.05
132,loc007857.05
133,loc008046.02
134,loc009988
135,loc008332.02
136,loc007746.03
137,loc012644.05
138,loc012644.01
139,loc008529.04
140,loc010281
141,loc007931.02
142,loc007970
143,loc007932.02
144,loc007931
145,loc008166.02
146,loc008138.03
147,loc008137.01
148,loc008096.06
149,loc010312.02
150,loc010936
151,loc010312.03
152,loc007920.04
153,loc010283.02
154,loc010226.03
155,loc010226.04
156,loc007982.05
157,loc006003.03
158,loc009310.02
159,loc007861.05
160,loc005637.03
161,loc007678
162,loc008116
163,loc007631
164,loc007679
165,loc007603.04
166,loc007951.02
167,loc008111.03
168,loc007626.04
169,loc007853.04
170,loc007626.05
171,loc008193.02
172,loc007604.03
173,loc008146.05
174,loc008073.03
175,loc008500.02
176,loc008048.04
177,loc008034
178,loc008194.02
179,loc008194.03
180,loc008195.02
181,loc008196.02
182,loc006003.04
183,loc008661
184,loc008132.07
185,loc008661.02
186,loc011052.02
187,loc005824
188,loc011052.03
189,loc008068
190,loc008132.06
191,loc007868.06
192,loc010883.02
193,loc010323.02
194,loc010323.03
195,loc008071.05
196,loc007628
197,loc008408.02
198,loc007920.05
199,loc007690.05
200,loc008045.04
201,loc008056
202,loc010320.03
203,loc010324.02
204,loc000157
205,loc005582.06
206,loc008053.04
207,loc007655.04
208,loc007983.05
209,loc007609.06
210,loc007983.02
211,loc007983.03
