text_id,text
1,Frybourg
2,Vacheresse
3,Berney
4,Larrengez
5,Moudon
6,Larrenjoz
7,Buaz
8,Vernaz
9,Morlon
10,Fryburg
11,Wulckischwyl
12,Treffels
13,Galgenberg
14,Jaquemard
15,Wattemwyl
16,Berfitschriedt
17,Wattenwyll
18,Berner
19,Velgaschür
20,Felgenschür
21,bösen thurn
22,Mesieres
23,Keller
24,schewr
25,Brauch
26,Bruch
27,Bernthor
28,Tavers
29,Velgaschüer
30,scheür
31,Ow
32,Menzißwyl
33,S. Wolffgang
34,Rychengassen
35,bosen thurn
36,Montenach
37,Dompierre
38,Wistellachen
39,bösen turn
40,Domppierre
41,Donatire
42,Lugnouroz
43,Lunaure
44,Donatyre
45,Giffers
46,Berner thors
47,Blumenstein
48,Rosey
49,Oignon
50,Onnion
51,L’Ocle
52,Savoie
53,Bourguillon
54,Verndringen
55,Hermißberg
56,Tavel
57,Uberstorff
58,Sensen
59,Mentzißhauß
60,Wyller
61,Titzenberg
62,Müllibach
63,Ruw
64,Avanche
65,Treyvaux
66,Bysenberg
67,Grandcourt
68,Treivaux
69,Vullie
70,Montorge
71,La Maigroge
72,ge
73,Solleure
74,Vivey
75,Corgy
76,Corsier
77,Saincte Clare
78,Vevey
79,Niclauß
80,Solothurn
81,Rechthaltten
82,Grandson
83,Sant Wolffgang
84,Einsidlen
85,Rechthalten
86,Romont
87,Romond
88,Remond
89,Payerne
90,Anne
91,Chapelle Sainte-Anne
92,Bule
93,Prevonlau
94,Birlin
95,Troys Roys
96,Estavayé
97,Spinß
98,Petit Farvagné
99,Morat
100,Arconciel
101,Zug
102,Corbers
103,Gryers
104,Corbieres
105,La Tour
106,La Vaux Saincte
107,Roche
108,Bellegarde
109,L’Espara
110,Charmey
111,Gruyere
112,Chastallet
113,Tissiniva
114,Gallen
115,Schwytz
116,La Roche
117,Arses
118,Arches
119,Corbières
120,Gugisperg
121,Guggisperg
122,Rathhuß
123,thurn
124,Jaun
125,lin
126,Thurn
127,Spittal
128,en Eiglen
129,Oge
130,Marlie
131,Jetschenwyll
132,Guin
133,S. Niclaußen
134,Tidingen
135,Ottisperg
136,Berlens
137,Ballißwyll
138,Sanen
139,wyll
140,Augustinern
141,Augustinerkirche
142,Ouw
143,Brugera
144,Cugie
145,Montet
146,Visin
147,Cugy
148,ne
149,Chastonaye
150,Brettenach
151,Villars-sur-Glâne
152,Nicolas
153,S. Barthlomé
154,Bartholomäus Kapelle
155,Pérolles Kapelle
156,Bürglen
157,Eiglen
158,Ütschenwyll
159,Ütschenwyl
160,St. Wolffgang
161,Chatedex
162,chasteau de Buloz
163,Buloz
164,Disjon
165,Avry
166,Avry-devant-Pont
167,Avry-sur-Matran
168,Pont
169,Pont-la-Ville
170,Pont-en-Ogoz
171,Avenche
172,Groley
173,Monbovon
174,Chivilliart
175,Brock
176,Chivrillie
177,La Lendaz
178,Curtipin
179,Kesenberg
180,Martran
181,Moncort
182,Corbiere
183,ly
184,Marly
185,Aulteville
186,Auteville
187,Villarvola
188,Gumuffin
189,sch
190,Murten
191,Lugnore
192,Murthen
193,Guevaux
194,Gevaux
195,Cudrefin
196,Lougnoure
197,Aulbin
198,Murtner gebiets
199,Froumatten
200,Frauwmatten
201,Chrischlisperg
202,Praroman
203,Vauxtravers
204,Burguillion
205,Hospital
206,Daspurg
207,berg
208,Granges
209,riedt
210,Bern
211,biet
212,Heitenriedt
213,tenriedt
214,Noreia
215,Estavayer le Giblioux
