sentence_id,char_range,original_id
83a50e32-aa95-44e7-af66-a7569e97691e,"[0,517)",1
b6def0d7-569a-4c18-bb67-05e4cf50ec00,"[517,741)",2
6b4a9dfd-46bf-4f0f-a288-2cbd67a94b63,"[741,979)",3
9bb406ab-fc65-4428-b3bf-536b6bf3df60,"[979,1139)",4
59e3e9a1-bf27-4b9e-839d-4caaf015ada4,"[1139,1317)",5
dde491e6-e9ba-4ed7-93b1-a7def0f0a234,"[1317,1631)",6
6b5ca7b7-95ff-4cc9-938d-799d82449e29,"[1631,1885)",7
12b42edb-137d-4af4-a5b5-38bcb22ff1c1,"[1885,2080)",8
29d4c3a2-ca25-46e4-a16a-0d1a4d989ed1,"[2080,2361)",9
2a17cc9d-ab5e-4e27-bc09-996cce8e2152,"[2361,2457)",10
851fd9b2-ded6-4ec2-a4f3-a0e7d287415f,"[2457,2669)",11
cd103297-ff73-434a-8914-dc041f48ea30,"[2669,2823)",12
4e6edc6d-96ed-42a7-b43b-95b136c1daaf,"[2823,3026)",13
aee052aa-8b55-4455-8dd1-11651ec4309c,"[3026,3130)",14
0d8fea52-23df-4b3c-a31b-60ee16a5a39d,"[3130,3213)",15
9a692e9d-dbd0-4b7c-8de5-2fa72e1eb95e,"[3213,3685)",16
081fe1cf-887c-43a0-ae63-bca5fc923470,"[3685,3967)",17
14b8f1fa-e2d7-44e0-afb8-d8ec90173836,"[3967,4282)",18
173f11ec-e45b-4fec-adce-9d8293db63bd,"[4282,4351)",19
71a68e21-4a23-49cb-a456-76960002e1e7,"[4351,4906)",20
20af46fc-58d7-49b1-987f-5f5c86ea874b,"[4906,4976)",21
3bf1e18f-12da-44bb-85b0-2f8a2b5d3ab2,"[4976,5026)",22
12a0b2eb-1f35-4612-af75-71a6e4a21204,"[5026,5674)",23
1a7a1569-4475-49da-83ab-574ca9b23b5b,"[5674,5773)",24
1490f934-0e50-4fd4-b306-c9cc631919f7,"[5773,5899)",25
2d96e4af-183d-45f3-9d4e-4dd137e8d2ab,"[5899,5921)",26
4149e5e3-370f-4df7-bd4c-81046b1328ee,"[5921,6010)",27
b81d3d40-dfe1-43ae-a47b-ea2b09b0abbb,"[6010,6112)",28
f85eaa17-5caa-4aef-b292-31fcbc4ee702,"[6112,6229)",29
f65992ad-f9c3-493a-95e0-83acf37f2aaf,"[6229,6450)",30
62df775f-aa71-4128-905c-f6c9539e6fd5,"[6450,6528)",31
2a68f5f0-693a-4ebd-b218-eeae3971ed40,"[6528,6692)",32
93b208d4-56b1-4da4-b5c0-fd7743aaee4a,"[6692,6764)",33
96e1686b-fc5d-49a7-a4b7-af6a94338ced,"[6764,6884)",34
6118eda6-5071-45cf-8112-dc1f62970786,"[6884,6960)",35
a5acd9c9-c5f3-48b2-8d19-ed1d4a6af613,"[6960,6990)",36
0ac1e6eb-b6da-45a5-8629-2a742ef4fc39,"[6990,7122)",37
9c2dfaf0-6526-46ff-a9e8-57169d9b6ef6,"[7122,7338)",38
3d64e224-409a-4a3b-a27f-e6f7c39d0591,"[7338,7378)",39
c5b8a278-fa42-45a3-9c03-2f1930f3775a,"[7378,7449)",40
374c14e1-ab5e-428b-bee7-5568ee370f50,"[7449,7477)",41
0c56dffa-fa07-4127-a4ba-42fa85360e9c,"[7477,7788)",42
d247e9e9-686a-4a7f-aada-384c35828777,"[7788,7825)",43
0022a05e-9ea6-4526-83a9-d9dc7dca9981,"[7825,7873)",44
d5470472-392b-4d7c-8fc3-d3c1417d2016,"[7873,7929)",45
0ea3a220-1565-4837-942a-0095c6bedc86,"[7929,7998)",46
ae6895d5-5870-4923-8dec-716e333be7fb,"[7998,8004)",47
f217fe9f-f885-41d4-8689-dd71a8cdfd3b,"[8004,8027)",48
72731e12-ad21-4132-a4fb-00c579d8f17e,"[8027,8111)",49
6c83a63b-9254-4be5-937f-e315d9c7b6c2,"[8111,8236)",50
c99363b6-9528-4ece-864f-14fc0479bb34,"[8236,8264)",51
22f3f732-e4e8-4322-9574-befa5f2dd829,"[8264,8331)",52
3c8c7465-f3b6-4391-8d10-4b42a2af2f2e,"[8331,8455)",53
49de69f9-5cfb-46c2-93b9-68be6bf51e6f,"[8455,8508)",54
500adae7-34a1-4e48-bbdf-238eed7c7280,"[8508,8617)",55
09bd90c4-67a3-43fa-a680-49e63aa4345f,"[8617,8737)",56
ae78e95c-2f96-4b2c-9b0d-bdb458c874ba,"[8737,8933)",57
9e2ae1a3-c007-41d5-bc44-845f01aaa2b8,"[8933,9019)",58
68d4c973-831b-45ea-839d-c7d18fa24f2b,"[9019,9088)",59
a44a7409-46ae-4c4a-80a8-c36c2832e464,"[9088,9115)",60
7f5ce20a-62c1-4bf6-b25a-5e0c42d7ecfb,"[9115,9217)",61
ee448df3-b453-416c-bc72-7a13ad57abe3,"[9217,9273)",62
b12bc1a8-6f52-480d-a592-67d1999c1058,"[9273,9305)",63
02861478-d033-48f7-9eef-c3e7efe71388,"[9305,9346)",64
2320b12c-3488-4f63-80e4-ab5f57e16436,"[9346,9470)",65
840d3ef6-e88c-4e36-b03d-9bda0a8fe3c5,"[9470,9507)",66
9e31c6e4-a3f0-4f54-8f7e-292026194044,"[9507,9525)",67
98dbe7ee-2b41-4522-bdb0-f2b3831b731a,"[9525,9552)",68
0242df19-8d4a-4d9f-98f5-95c8467f901e,"[9552,9622)",69
035a9b07-6c45-4c52-a489-277f446e5d16,"[9622,9651)",70
53e36db1-61cb-4ac8-b316-a28952b267eb,"[9651,9750)",71
dc85aac5-b79a-4775-9190-145ca803af28,"[9750,9865)",72
d423c2f5-0ff3-42d1-b78c-31127ef3fc13,"[9865,9946)",73
2a20bdfb-7b5f-4add-a98e-59361c0a169c,"[9946,10092)",74
27ef32eb-eb22-4219-91d7-9d8cf2f28a52,"[10092,10120)",75
388752c2-61f0-4ebd-b3bc-3d5036ada0a5,"[10120,10271)",76
82a30ae5-6ebc-43ab-9b5b-f15988827423,"[10271,10351)",77
60bf787d-b9f2-4d62-b8c2-28fe9b1b243b,"[10351,10394)",78
6dc58b10-978f-483f-a13c-66b766f3feb0,"[10394,10597)",79
b1a5f6d0-d33e-4873-9f96-61e7626d4b51,"[10597,10668)",80
7c403202-21c4-4629-be47-dffe4295deab,"[10668,10741)",81
72e1ed6c-598e-4c4a-96ec-ebeb7f85b1e1,"[10741,10794)",82
b9cb3092-668a-487e-b0df-e656bb6c8ba7,"[10794,10845)",83
9d92e122-bfb6-4c6e-8d24-ffbd7a5abd09,"[10845,10987)",84
88d92ea5-2d3d-4f5a-97a0-4b350c590e83,"[10987,11133)",85
47e21816-86dd-4df5-ad49-821779276af9,"[11133,11225)",86
3da79a0f-5844-4127-8684-b009c32ce1ae,"[11225,11427)",87
fa499a24-f3f1-44de-8cdc-dcf5aa06e987,"[11427,11514)",88
143accd3-a287-48ab-a640-ad54282dcb54,"[11514,11616)",89
decb87fd-d4b9-4d19-8361-c9dda1ddbd91,"[11616,11695)",90
3499fe96-926f-4817-be44-48a02598a156,"[11695,11797)",91
68be3390-2f95-4956-9d1b-ab3f3fd2e990,"[11797,11909)",92
bbd735ca-da7c-41cb-b496-8475cbffdc2e,"[11909,11956)",93
f1077171-4dc5-4f10-b2e9-2a344e134480,"[11956,12007)",94
097b8848-24d9-4e31-badd-e3e9dcc356f4,"[12007,12080)",95
9dd36b54-485c-4490-bedf-d43f888dec51,"[12080,12201)",96
e9b34a3d-9cb1-4ff5-857d-3d6f7c905655,"[12201,12316)",97
118beded-6a42-42fa-8fc9-2a4efa955cef,"[12316,12404)",98
abe44b11-d7b7-4697-84fb-5c1095108fd2,"[12404,12457)",99
dfd889c7-960e-4aad-b1eb-b783d45e6828,"[12457,12556)",100
c7c9c5b9-fc08-45df-828b-58d1a179b239,"[12556,12660)",101
3f628f32-2070-4f99-9014-654e28f5c8b3,"[12660,12709)",102
72b16829-a3e9-4ab0-8998-d86d593f46fe,"[12709,12833)",103
0efdd218-cfd6-40e7-9de3-81f6c1702d00,"[12833,12907)",104
f41de458-12a1-4d93-9605-ec2619277317,"[12907,12996)",105
ea77530a-c21d-42c2-b383-08abae27bcb2,"[12996,13041)",106
9b6a98ca-d5a9-42bf-9b3d-a6ee958c289d,"[13041,13104)",107
2ffdc97a-bbc2-4003-a949-167c87ee3579,"[13104,13171)",108
59a02e0a-be0a-4155-97ea-df737dca32a5,"[13171,13271)",109
7ff93c52-db73-4ea6-a992-823cfc43aadc,"[13271,13411)",110
ffa7cdec-4bc0-4db5-90f7-d8705f168c19,"[13411,13448)",111
6ae29c83-a9ca-460d-8e09-6ee77e3ca698,"[13448,13557)",112
3d0cacab-4201-4bf0-8313-ddf75f16d3b8,"[13557,13665)",113
451793b0-ee47-4c83-8aeb-6542a5fddbd2,"[13665,13754)",114
a8e6595b-5fc0-4f6d-b233-a0bd6b8082b6,"[13754,13844)",115
62b4faa1-467c-4bf6-a3c0-c04e1b071f8a,"[13844,13875)",116
eed86927-4b1e-4358-b40e-3a44a25c8640,"[13875,13907)",117
515fc860-0281-44bf-9064-a556c2b19611,"[13907,13935)",118
ec2396c7-758c-4337-86d6-bee14fe0e360,"[13935,13941)",47
75b54c82-2666-4418-81fe-3176df0fcc4b,"[13941,13965)",119
e4b1a2f6-f813-46c2-b22f-bc48112035ee,"[13965,14047)",120
f3920687-a15e-40c3-a334-52075168d898,"[14047,14065)",67
8d1a614e-896a-4834-9bda-a2200739c57c,"[14065,14146)",121
d7b0ffcd-6d84-4ed4-855a-649100031981,"[14146,14174)",122
9b3a1de5-cfa6-4705-bbf1-c4dde636f32d,"[14174,14427)",123
64d52e78-220c-426f-b7f4-e16188f6a5ba,"[14427,14503)",124
c2dfbda0-79d6-45eb-b404-86fee4dc6479,"[14503,14570)",125
dffb7c7b-553d-4c85-a608-8a1964d3af07,"[14570,14613)",126
732a09d3-c799-4415-b34c-3d74f15ffbef,"[14613,14653)",127
b636e66e-a6fd-4879-8323-d32ea0505bb0,"[14653,14659)",47
f17e887d-a869-4dcf-aaab-c13b0cadefd2,"[14659,14683)",128
4028a0ca-1dd8-4979-ac81-65bd4d3b539c,"[14683,14743)",129
e48b7a31-613d-4456-ab92-f9c521edb096,"[14743,14886)",130
0ae0ac0b-35d8-480e-ab81-a776094af463,"[14886,14913)",131
56a14897-8d0b-49d9-936c-779bb577c5e6,"[14913,14919)",47
468d2a2b-86a8-4af3-93fa-8f839d73f76c,"[14919,14953)",132
9d13a031-85c0-49ee-a560-d75727dfb64a,"[14953,14959)",133
770cabdf-a966-4e01-bf17-d530455c29c0,"[14959,15113)",134
1d8bd889-59e7-44ea-88d3-1fcac87da8be,"[15113,15210)",135
57776b3c-589b-4c0d-bb57-379cf50a156f,"[15210,15299)",136
76e13d15-0618-4258-af8f-d2a8a02e645a,"[15299,15375)",137
82bd0314-d7f4-4400-b326-687b7983ea37,"[15375,15460)",138
b2c801bc-2941-4179-80bc-e46cef7ed1e5,"[15460,15630)",139
a874becb-24c3-4f12-b32c-f54a42f7352b,"[15630,15706)",140
49806e15-c314-4219-8d85-f3c40c7610bb,"[15706,15814)",141
b82f6e77-84bc-487a-b9dc-eaadf78ff1fe,"[15814,15949)",142
21f1ea63-a8c8-46ba-9a0b-cacd4a9b3e17,"[15949,16015)",143
132b1d44-1bda-4286-b634-3e0bee731a52,"[16015,16082)",144
943c1fba-08d7-4c23-ba32-55fd44a30455,"[16082,16184)",145
46908682-f99a-44e6-a2af-1fc7da19157e,"[16184,16418)",146
a0bb3810-7b54-432d-bf20-2add2860756a,"[16418,16507)",147
d12a0cb0-9293-4bf6-8ced-5da10df845f1,"[16507,16629)",148
19abbf29-8805-4a76-a788-45eb2f89b6d8,"[16629,16815)",149
676193da-2895-4871-a2df-4aa300181502,"[16815,16975)",150
944ec44e-985d-4ed5-9cbb-4a5ff638ffd8,"[16975,17035)",151
ca1d569c-e149-4f2d-b110-a44a314e50ea,"[17035,17135)",152
31e05520-3de5-4202-9417-1c979d18e33f,"[17135,17256)",153
7bd9b80b-eaa6-4fae-99f7-52f280746258,"[17256,17459)",154
38a6a5a2-b087-4645-a7be-4d77a8b1b069,"[17459,17544)",155
c8afe6c3-1d77-42ac-a90f-586365780b20,"[17544,17641)",156
43b99d5e-3d3e-4fbf-840b-eb5ba34ebfc2,"[17641,17730)",157
613ad99e-4651-4c43-afef-61a6658aedf7,"[17730,17915)",158
432b3141-56a7-40ec-84df-3c73b1d1c257,"[17915,18010)",159
aed81e14-1264-4356-aed9-6514e6f47c6e,"[18010,18053)",160
94f8c3dc-652a-4372-923c-a52831442d5e,"[18053,18187)",161
2b59bd7a-1cbe-4ac9-b33a-273f776e3b0b,"[18187,18242)",162
78f31579-cfbb-4df0-904f-6dd3623a831a,"[18242,18357)",163
cc76e540-a924-462e-bbeb-8fc26ef5335a,"[18357,18460)",164
22ed0292-bbc6-4281-9946-9029297e55ec,"[18460,18547)",165
ed06d836-9286-4981-9c99-a830d4b23b14,"[18547,18565)",67
2ff8ebfe-4a37-407b-9ff9-6fdc7e2eca38,"[18565,18604)",166
5001209d-b702-455d-ae8b-9ad990d218e0,"[18604,18818)",167
969941bf-ef2e-4f7f-a8ae-4b22e8c1da25,"[18818,18930)",168
3c1456dc-c0b9-4eaf-a253-8efbeee0e4c6,"[18930,19020)",169
50c5034a-65ba-4299-a5eb-2de14b784c0f,"[19020,19152)",170
b8e0c8de-d81f-4d9e-97d6-5d79bb4515f0,"[19152,19179)",131
8c03d3a4-271d-43a0-9fc4-03a34edbae5f,"[19179,19185)",47
