original_id,original
1,"Mardi le xx e jour du moys d’aoust l’an etc nonante et trois , en presence de saiges, pourveables et discrets conseillieurs de Frybourg , Jehan Mussillier , Pierre Ramuz , Jehan Cordey , Hans Espagniod , Guilliame Gastrod , Wilhelm Reiff , et J H H ans Techtermand grosoutier dudit Frybourg , Jehanneta , relexee de Estieven Lasne de Vacheresse Il existe aussi un village nommé Vacheresse en Gruyère, mais selon les autres mentions de lieux faites dans le procès, il faut privilégier la provenance savoyarde."
2,", az regiqui : Item que par grand desconfort qu’elle avoit de ce que son mari susdit la battoyt, elle s’en allast de nuyt par ung boys, sur ung roché, et començzaz a cryer que Dieu ou le diable ly voulsisent aydier."
3,"Adonc venist a elle ung qui se nomoit Sathanaz , en forme obscure noire, qui ly desmandaz qu’elle vouloit et la cause de sa tristesse ; auquel elle respondist qu’elle estoit toute desconfortee car son mari ne la faisoit que battre."
4,"Adonc ledit Sathanaz ly dist que se elle le vouloit croyre et le prendre a maistre et renyer Dieu, qu’il la reconforteroit et son mari ne la battroit plus."
5,"Et a celle heure, elle renyast Dieu et prist ledit Sathanaz pour son maistre et, en ly faisant hommage , le baisast ou cul et ly donast d’ enseignie troys poilz de sa teste."
6,"Item mais az elle regiqui que, puys apprés, elle est allee et az frequenté la sette qu’il tenoent en ung ancian chastel desroché , appellé en Berney Il existe aussi un village nommé Bernex à Genève, mais selon les autres mentions de lieux faites dans le procès, il faut privilégier la provenance savoyarde."
7,", par l’espace de deux ans , en laquelle sette , ledit leur maistre Sathanat les convoquoyt toutes les sepmaines deux foys, c’est assavoir le mescredi et le vendredi, et leur donnoit des bastonets sur lesqueulx eulx chevaucheoent en ladite sette ."
8,"Et se par aventure il ne ly vouloent aller, il les battoyt durement, et quant l’eulx l’eure estoit de departir, eulx chevaucheoent dessus lesdits bastonet, retornent chacun a son logis."
9,"Item elle et ses complices cy apprés nommé se trovoent sur les jours susdits en ladite sette , environ la mynuit, et quant il estoent tous amassés, il commençzoent tout premierement a danzer et faire bonne chiere, et puys apprés leur mestre Sathanat leur appourtoit a mangier."
10,"Et ung qu’estoit de ladite sette , appellé Pierre Sessel de Larrengez , estoit leur cusiner."
11,"e Item ung de ses complices appellé Jehan Villie embrassaz unefoys une joefnez femme, grosse par le moiten , et la pressast tellement que tantost apprés elle enfantast ung filz, luquel n’eust point batisme ."
12,"Et quant il feust enterré, eulx allesrent occultement et le deterrasrent tout fres et le pourterent en ladite sette , ou il rotisrent et le mengasrent."
13,"Et pluseurs aultres enfans mengeoent ilz en ladite sette , et ne sçait point d’out il venoent, mais il n’avoent point recehuz batesme , car sur tels enfans baptisés n’ont ilz point de puissance."
14,"Item quant il estoent en ladite settez , il se mesloent ensemble et touteffois non pas hors de nature."
15,Item pluseurs qui sont eu de ladite sette sont ehu brulés et executé par justice.
